epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.574,3.07572,5.32839,4.1769,0.00116,0.1624,0.00041,8e-05,3.27043,5.12763,4.08558,0.000207968,0.000207968,0.000207968
2,483.428,2.97303,5.13654,3.81493,0.00172,0.18129,0.00094,0.00019,3.08979,5.05303,3.66067,0.000411149,0.000411149,0.000411149
3,725.582,2.75558,4.92412,3.41405,0.00318,0.18611,0.00106,0.00025,2.84405,4.91571,3.34127,0.000609175,0.000609175,0.000609175
4,965.581,2.52531,4.70886,3.1547,0.00366,0.24074,0.00289,0.00066,2.76936,4.87733,3.27304,0.000601797,0.000601797,0.000601797
5,1201.97,2.39724,4.60612,3.01713,0.00823,0.2675,0.00459,0.00113,2.73255,4.81,3.2804,0.000594062,0.000594062,0.000594062
6,1437.33,2.30178,4.52072,2.92485,0.0062,0.29181,0.00577,0.00141,2.67877,4.72021,3.16505,0.000586328,0.000586328,0.000586328
7,1676.66,2.25222,4.40601,2.82706,0.00427,0.30621,0.0046,0.00109,2.66899,4.65413,3.15584,0.000578594,0.000578594,0.000578594
8,1920,2.18898,4.29263,2.77648,0.00445,0.34987,0.00875,0.00215,2.61615,4.51424,3.10266,0.000570859,0.000570859,0.000570859
9,2162.04,2.15151,4.16912,2.70419,0.00529,0.36087,0.01039,0.00287,2.63872,4.58834,3.09964,0.000563125,0.000563125,0.000563125
10,2402.09,2.1548,4.09982,2.69648,0.00536,0.39292,0.01356,0.00388,2.5838,4.44229,3.05578,0.000555391,0.000555391,0.000555391
11,2646.25,2.09296,3.98046,2.63715,0.31921,0.03864,0.01616,0.00519,2.54032,4.31081,3.02667,0.000547656,0.000547656,0.000547656
12,2890.01,2.05105,3.88818,2.59898,0.31101,0.03959,0.01875,0.0061,2.49533,4.24968,2.94076,0.000539922,0.000539922,0.000539922
